,longitude,latitude,elevation(m)
IV.CSFT..HH,14.1395,40.829,108.0
IV.CBAC..HH,14.0807,40.811,33.0
IV.CFB3..HH,14.1442,40.809,-38.0
IV.CAWE..EH,14.139,40.8401,222
IV.CSOB..HH,14.1439,40.8267,177.0
IV.CFMN..HH,14.0904,40.8329,50.0
IV.CPOZ..HH,14.1186,40.8212,3.0
IV.CBAG..HH,14.1747,40.8115,169.0
IV.V0106..HH,14.0706,40.8836,55.0
IV.PTMR..HH,14.034917,40.761417,100.0
IV.CAAM..HH,14.142,40.82,100.0
IV.CDOV..EH,14.1828,40.8197,18.0
IV.CMIS..HH,14.089047,40.778154,133.6004
IV.CNIS..HH,14.163176,40.79817,50.0
IV.CQUE..HH,14.1538,40.8856,65.0
IV.CFB1..HH,14.1212,40.8103,-40.0
IV.COLB..HH,14.1446,40.819,8.0
IV.CSTH..HH,14.1491,40.8294,65.0
IV.CMSN..HH,14.1836,40.8386,95
IV.CROS..HH,14.150167,40.824467,107.9
IV.CASE..EH,14.1587,40.8402,107.0
IV.CCAP..EH,14.1923,40.8064,166.0
IV.V0102..EH,14.147515,40.829674,69.0
IV.V0105..EH,14.159395,40.80804,14
IV.CMTS..EH,14.1972,40.8314,40.0
IV.CPIS..HH,14.147,40.8292,69
2I.CGAU..HH,14.112998,40.852368,101
IV.CRUS..EH,14.0798,40.8625,104
IV.V0104..HH,14.112998,40.852368,101
2I.CSOC..EH,14.212443,40.841698,143
IT.BCLI..HN,14.0777,40.7968,15
IT.BAIP..HN,14.0705,40.8183,8
IT.POZL..HN,14.0843,40.8321,41
IT.POZT..HN,14.121,40.8208,36
IT.POZA..HN,14.1167,40.8341,73
IT.POZB..HN,14.1012,40.8401,73
IT.POZS..HN,14.13,40.8288,93
IT.MPCD..HN,14.0552,40.7944,88
IT.POZM..HN,14.1435,40.8239,151
IT.POZU..HN,14.1208,40.8558,73
IT.NABA..HN,14.1611,40.8188,71
IT.BAN..HN,14.1652,40.8138,51
IT.NAAG..HN,14.1657,40.8334,32
IT.NACO..HN,14.1744,40.8049,7
IT.NAFG..HN,14.1786,40.8202,134
IT.NAP..HN,14.1796,40.7992,203
IT.NAD..HN,14.28,40.8717,146
IV.CUMA..HH,14.053389,40.847947,81
2I.CLAC..HH,14.0706,40.8836,55
IV.CMDP..HH,14.0626778,40.7962917,55
2I.CREM..HH,14.1282,40.8235,77
